,Director,Average Rating,Major Genre
395,Lee Toland Krieger,7.2,Drama
396,Louis Leterrier,6.3125,Action
397,Peter Billingsley,5.5,Comedy
398,Terry Jones,6.0,Comedy
399,Steven Soderbergh,6.55,Comedy
400,Kyle Balda,6.4,Animation
401,Rolfe Kanefsky,3.9,Horror
402,Nicolas Winding Refn,7.05,Action
403,Pierre Coffin,7.550000000000001,Animation
404,Michael Hoffman,6.7,Drama
405,Karyn Kusama,5.9,Drama
406,Kathryn Bigelow,7.5,Drama
407,Nathan Greno,7.8,Animation
408,Francis Lawrence,6.975,Action
409,John Francis Daley,6.1,Adventure
410,Pierre Morel,6.8,Action
411,Elizabeth Banks,5.4,Comedy
412,Dan Scanlon,7.3,Animation
413,Paul Verhoeven,7.2,Crime
414,Dennis Gansel,5.6,Action
415,Kevin Smith,5.15,Comedy
416,Mark Williams,6.9,Drama
417,Joe Wright,6.574999999999999,Drama
418,David Yates,7.55,Adventure
419,Steve McQueen,7.625,Drama
420,Joe Wright,6.574999999999999,Action
421,David Ross,5.7,Drama
422,Burr Steers,6.1,Action
423,Noam Murro,6.2,Action
424,Babak Najafi,5.9,Action
425,David Fincher,7.78125,Drama
426,Frank Miller,6.5,Action
427,Paul Greengrass,7.6,Action
428,Srdjan Spasojevic,5.2,Horror
429,James DeMonaco,5.85,Action
430,Rajkumar Hirani,8.3,Comedy
431,Ben Stiller,6.574999999999999,Comedy
432,Marc Forster,6.8,Action
433,Brad Bird,7.475,Action
434,Corey Asraf,6.4,Action
435,Jon S. Baird,7.1,Comedy
436,George Tillman Jr.,6.75,Drama
437,J.A. Bayona,7.55,Drama
438,Jeff Wadlow,6.6,Action
439,Jeff Grace,5.6,Comedy
440,Sam Raimi,6.25,Adventure
441,John Crowley,6.85,Drama
442,Henry Selick,7.7,Animation
443,Derek Cianfrance,7.325,Drama
444,Michael J. Gallagher,6.0,Thriller
445,Christophe Gans,6.6,Adventure
446,Pete Travis,6.4,Action
447,Taika Waititi,7.9,Adventure
448,Don Hall,7.8,Animation
449,Kimberly Peirce,5.9,Drama
450,Jon Favreau,7.324999999999999,Action
451,Jean-Marc Vallée,7.3,Comedy
452,Christian Alvart,6.8,Action
453,Antoine Fuqua,7.03125,Action
454,D.J. Caruso,6.35,Action
455,Thomas Vinterberg,8.3,Drama
456,Anne Fletcher,6.6,Comedy
457,Etan Cohen,6.0,Comedy
458,Dennis Dugan,5.725,Comedy
459,Sam Mendes,7.3,Drama
460,Ben Affleck,7.525,Crime
461,William Brent Bell,6.0,Horror
462,Mick Jackson,6.6,Biography
463,Michael Spierig,7.5,Drama
464,Rob Letterman,6.3,Adventure
465,Guy Ritchie,7.4375,Action
466,Phillip Noyce,6.45,Action
467,Denis Villeneuve,7.78125,Mystery
468,Neill Blomkamp,7.025,Action
469,Adam McKay,6.8125,Action
470,Ridley Scott,6.778124999999999,Biography
471,Sofia Coppola,6.4,Biography
472,Roland Emmerich,5.824999999999999,Action
473,David Yates,7.55,Adventure
474,Ben Affleck,7.525,Biography
475,Dexter Fletcher,7.4,Biography
476,Florian Henckel von Donnersmarck,8.5,Drama
477,Carles Torrens,5.7,Horror
478,Amber Tamblyn,8.3,Drama
479,Justin Kurzel,6.300000000000001,Drama
480,Nicholas Stoller,6.575,Comedy
481,Phillip Noyce,6.45,Drama
482,John Hillcoat,7.05,Action
483,Paolo Genovese,7.7,Comedy
484,Clay Kaytis,6.3,Animation
485,Wes Anderson,7.875,Adventure
486,Adam Shankman,6.300000000000001,Comedy
487,Lasse Hallström,7.4,Drama
488,Glenn Ficarra,6.8,Comedy
489,Brad Bird,7.475,Animation
490,Jim Mickle,6.5,Drama
491,Albert Hughes,6.9,Action
492,Matt Reeves,7.25,Action
493,Ericson Core,5.3,Action
494,Jonathan Glazer,6.3,Drama
495,Francis Lawrence,6.975,Drama
496,Barry Sonnenfeld,6.05,Action
497,J.J. Abrams,7.206250000000001,Mystery
498,F. Gary Gray,7.65,Crime
499,Pete Docter,8.25,Animation
500,Wes Ball,6.55,Action
501,Todd Haynes,7.2,Drama
502,Daniel Ragussis,6.5,Crime
503,Paolo Sorrentino,7.3,Comedy
504,Jaco Van Dormael,7.9,Drama
505,Pete Travis,6.4,Crime
506,Oliver Stone,6.9,Crime
507,Marc Webb,7.275,Comedy
508,Elizabeth Banks,5.4,Comedy
509,Alfonso Cuarón,7.85,Drama
510,Mark Herman,7.8,Drama
511,Antoine Fuqua,7.03125,Action
512,M. Night Shyamalan,5.109375,Sci-Fi
513,S. Craig Zahler,7.1,Adventure
514,Gregory Jacobs,5.7,Comedy
515,Will Gluck,6.074999999999999,Comedy
516,Ridley Scott,6.778124999999999,Action
517,Neill Blomkamp,7.025,Action
518,Peter Jackson,7.237500000000001,Adventure
519,Biyi Bandele,6.2,Drama
520,Sean Ellis,7.2,Biography
521,Ridley Scott,6.778124999999999,Crime
522,Andrey Kravchuk,4.7,Action
523,Glenn Ficarra,6.8,Biography
524,David Schwimmer,7.0,Crime
525,George Nolfi,5.5,Action
526,Neill Blomkamp,7.025,Action
527,Eli Roth,5.325,Adventure
528,Gareth Edwards,7.15,Action
529,Tony Gilroy,6.7,Action
530,Ridley Scott,6.778124999999999,Comedy
531,Simon Verhoeven,5.4,Horror
532,Tony Scott,6.9,Action
533,Luc Besson,6.35,Action
534,Terence Davies,7.2,Biography
535,Scott Waugh,6.5,Action
536,Christopher McQuarrie,7.2,Action
537,Steven Brill,5.7,Action
538,Alexandros Avranas,7.3,Crime
539,Ewan McGregor,6.1,Crime
540,Roman Polanski,7.2,Mystery
541,Neil Burger,7.325,Mystery
542,Nic Mathieu,6.3,Action
543,Richard LaGravenese,7.075,Drama
544,Mora Stephens,5.7,Drama
545,Jeff Nichols,6.9,Drama
546,Mike Birbiglia,6.8,Comedy
547,Tim Burton,6.6,Adventure
548,Philippe Falardeau,6.8,Biography
549,Ken Loach,7.9,Drama
550,Peyton Reed,6.55,Comedy
551,Jeff Nichols,6.9,Biography
552,Josh Trank,4.3,Action
553,Stephen Fingleton,6.3,Drama
554,Florian Gallenberger,7.1,Drama
555,Rob Cohen,4.9,Mystery
556,Joel Edgerton,7.1,Mystery
557,Gary Shore,6.3,Action
558,Ron Howard,6.8125,Action
559,Mike Judge,6.6,Adventure
560,Sylvester Stallone,6.975,Action
561,Fede Alvarez,6.85,Fantasy
562,Scott Derrickson,7.199999999999999,Horror
563,Rich Moore,7.8,Animation
564,Rupert Sanders,6.1,Action
565,Joe Wright,6.574999999999999,Adventure
566,Michael Bay,6.2625,Action
567,Jason Reitman,7.45,Comedy
568,Tom Tykwer,7.15,Comedy
569,Jodie Foster,6.5,Crime
570,Nick Cassavetes,6.0,Comedy
571,Kevin Lima,7.1,Animation
572,Nancy Meyers,7.1,Comedy
573,Jonathan Dayton,7.8,Comedy
574,Ben Younger,6.8,Biography
575,Louis Leterrier,6.3125,Action
576,Craig Gillespie,6.8,Action
577,Joseph Kosinski,6.9,Action
578,Francis Lawrence,6.975,Action
579,Andrew Jarecki,6.3,Crime
580,John Stockwell,4.9,Action
581,M. Night Shyamalan,5.109375,Action
582,Jake Kasdan,5.1,Comedy
583,Kirk Jones,5.85,Comedy
584,Bennett Miller,7.6,Biography
585,Mark Steven Johnson,5.2,Action
586,Angelina Jolie,7.2,Biography
587,Tarsem Singh,7.075,Action
